Order_ID,Component_ID,Vendor_ID,Route_ID,Order_Date,Contractual_Delivery_Date,Actual_Delivery_Date,Delivered_Qty,Ordered_Qty,Price_per_Unit,Actual_Lead_Days,Committed_Lead_Days,Shortfall,Shortfall_flag,Delay_Indicator
O0001,C05,V005,R023,24-10-2024,21-11-2024,02-11-2024,136,372,37,9,28,236,1,0
O0002,C03,V012,R015,10-10-2024,21-11-2024,02-11-2024,50,307,88,23,42,257,1,0
O0003,C05,V005,R015,12-10-2024,30-10-2024,05-11-2024,50,477,37,24,18,427,1,1
O0004,C04,V002,R005,20-10-2024,28-10-2024,10-11-2024,50,112,65.2,21,8,62,1,1
O0005,C05,V014,R004,25-10-2024,12-11-2024,17-11-2024,308,686,37,23,18,378,1,1
O0006,C05,V008,R023,15-10-2024,18-10-2024,10-11-2024,50,552,37,26,3,502,1,1
O0007,C05,V001,R005,10-10-2024,28-10-2024,06-11-2024,161,183,37,27,18,22,1,1
O0008,C03,V012,R001,18-10-2024,21-11-2024,19-11-2024,50,287,88,32,34,237,1,0
O0009,C01,V012,R006,05-10-2024,15-10-2024,18-11-2024,175,232,25.5,44,10,57,1,1
O0010,C05,V012,R025,28-10-2024,30-10-2024,10-11-2024,230,671,37,13,2,441,1,1
O0011,C01,V005,R003,05-10-2024,04-11-2024,17-11-2024,50,67,25.5,43,30,17,1,1
O0012,C03,V007,R003,15-10-2024,28-10-2024,10-11-2024,50,257,88,26,13,207,1,1
O0013,C05,V011,R026,12-10-2024,30-10-2024,10-11-2024,749,750,37,29,18,1,1,1
O0014,C03,V006,R027,10-11-2024,20-11-2024,25-10-2024,50,98,88,-16,10,48,1,0
O0015,C04,V010,R015,15-10-2024,20-11-2024,06-11-2024,452,750,65.2,22,36,298,1,0
O0016,C05,V005,R022,24-10-2024,20-11-2024,20-11-2024,50,750,37,27,27,700,1,1
O0017,C02,V011,R007,15-10-2024,28-10-2024,25-10-2024,50,314,12.75,10,13,264,1,0
O0018,C03,V006,R021,10-10-2024,20-11-2024,06-11-2024,153,724,88,27,41,571,1,0
O0019,C01,V006,R025,24-10-2024,07-11-2024,20-11-2024,138,265,25.5,27,14,127,1,1
